youtube_id,description_en,acquired_from,description_ar,recording_date,location_latitude,location_longitude,weapons,location,reference_code,type_of_violation,,notes
_Yo2FiIuPVo,Airstrikes by the Syrian airforce with cluster bombs in Talbisah,Qasioun News Agency,قصف الطيران الحربي بالقنابل العنقودية على مدينة تلبيسة بريف حمص,2016-08-23 23:42:00+00:00,,,[<Weapon: Cluster Munition>],HOMS : Talbisah,CL_1100,Use of illegal weapons,,
L-r1bi0XFuY,Six civilian casualties and more than 40 injured as a result of cluster bombs attack and other weapons,SMART News Agency - وكالة سمارت للأنباء,  ستة قتلى مدنيين وأكثر من 40 جريحاً في قصف جوي على مدينة دوما بغوطة دمشق  الشرقية,2016-08-22 17:55:00+00:00,,,[<Weapon: Cluster Munition>],DAMASCUS : Duma,CL_1089,Use of illegal weapons,,"قضى 6 مدنيين وجرح أكثر من 40 آخرين بينهم أطفال ونساء اليوم الاثنين، إثر قصف جوي بالصواريخ والقنابل العنقودية على مدينة دوما بغوطة دمشق الشرقية. تزامن القصف مع استهداف المدينة بقذائف الهاون وصاروخ أرض - أرض.
"
0MAmnNz90Pg,Six civilian casualties as a result of Russian airstrikes with cluster bombs and other munitions which targeted a public market,SMART News Agency - وكالة سمارت للأنباء,الطائرات الروسية تقتل 6 مدنيين في قصف لسوق الهال بمحيط بلدة عويجل غرب حلب,2016-08-12 11:54:00+00:00,,,[<Weapon: Cluster Munition>],ALEPPO : Umayjil,CL_1090,Use of illegal weapons,,"قضى 6 مدنيين وجرح 15 آخرون اليوم الجمعة إثر 7 غارات بالصواريخ الفراغية والقنابل العنقودية نفذتها طائرات حربية روسية على السوق الشعبي في محيط بلدة عويجل غرب حلب. يقول عنصر الدفاع المدني (عبد الله عبد الحي) ""عند الساعة العاشرة صباحاً قام الطيران الروسي بقصف سوق الهال الوحيد في المنطقة ما أدى لسقوط عشرات الضحايا، حيث تم اسعاف عدد من الجرحى وهم بحالة خطرة إلى المشافي الخارجية"". 
"
nd_2dLweXHU,Russian airstrikes with cluster bombs and other munitions in the east of Idlib,SMART News Agency - وكالة سمارت للأنباء,الطائرات الروسية تشن 15 غارة بالقنابل العنقودية والصواريخ الفراغية على مدينة سراقب شرق إدلب,2016-08-06 18:03:00+00:00,,,[<Weapon: Cluster Munition>],IDLIB : Saraqib nahiyah,CL_1091,Use of illegal weapons,,"شنت طائرات حربية روسية، عصر اليوم، 15 غارة بالقنابل العنقودية والصواريخ الفراغية على مدينة سراقب في ريف إدلب الشرقي، استهدفت سوق المدينة الرئيسي، مما أدى لإصابة ستة أشخاص بجروح خفيفة حسبما يقول (محمد حاج قاسم) من منظومة الإسعاف بسراقب. كما أدى القصف إلى نشوب حريق في عدد من المحال التجارية وتعرض منازل المدنيين لدمار كبير.
"
aEvzZ3hR9-U,Seven casualties as a result of the Russian airstrikes with cluster bombs and other munition,SMART News Agency - وكالة سمارت للأنباء, سبعة قتلى في غارات روسية بالصواريخ الفراغية والقنابل العنقودية على الأتارب غرب حلب,2016-08-03 13:15:00+00:00,,,[<Weapon: Cluster Munition>],ALEPPO : Al atarib,CL_1092,Use of illegal weapons,,"قضى 7 أشخاص وجرح آخرون اليوم الأربعاء إثر غارات روسية بالصواريخ الفراغية والقنابل العنقودية استهدفت مدينة الأتارب غرب حلب. مراسل سمارت ذكر أن إحدى الغارات العنقودية استهدفت شاحنات محملة بالمحروقات والبضائع (إحداها محملة بمواد إغاثية) عند المدخل الغربي للمدينة ما تسبب باحتراقها، حيث عملت فرق الدفاع المدني على إطفاء الحريق وقام الأهالي بمساعدة الكتيبة الهندسية بإزالة القنابل العنقودية التي لم تنفجر. يقول مسؤول الدفاع المدني في الأتارب (نجيب بكور) ""المدة بين الغارة والأخرى لا تتجاوز الـ 5 دقائق، حيث تسببت بحرائق كبيرة قمنا بإطفائها"". 
"
NAdLVsbKI0A,Seven casualties and more than 30 injured including children and women as a result of the Russian airstrikes with cluster bombs in the west of Idlib,SMART News Agency - وكالة سمارت للأنباء,سبعة قتلى وأكثر من 30 جريحاً بينهم نساء وأطفال في غارتين  للطائرات الروسية على جسر الشغور غرب إدلب,2016-07-23 08:42:00+00:00,,,[<Weapon: Cluster Munition>],IDLIB : Jisr ash-Shughur,CL_1093,Use of illegal weapons,,"قضى 7 مدنيين وجرح أكثر من 30 آخرين بينهم نساء وأطفال اليوم إثر غارتين بالصواريخ العنقودية نفذتهما طائرة روسية على مدينة جسر الشغور غرب إدلب، حسب مراسل سمارت في المنطقة.
"
hnDtWlTTzB8,The first moments of the Russian airstrikes on Mashhad district with cluster bombs,SMART News Agency - وكالة سمارت للأنباء," لحظة استهداف حي المشهد بحلب من قبل الطائرات الروسية
",2016-07-17 11:24:00+00:00,,,[<Weapon: Cluster Munition>],ALEPPO : Mashhad,CL_1095,Use of illegal weapons,,"شنت الطائرات الروسية غارتين بصواريخ عنقودية على حي المشهد بحلب، دون وقوع خسائر بشرية، حسب مراسل سمارت في المنطقة.
"
Q9-TuUUKt2I,Casualties and injures civilians as a result of the Russian airstrikes with cluster bombs. The white helmet team is collecting the remnants of the cluster bombs used in this attack. ,SMART News Agency - وكالة سمارت للأنباء,مقتل رجل وطفل إثر ثلاث غارات روسية بالقنابل العنقودية على الجينة في ريف حلب,2016-07-16 13:47:00+00:00,,,[<Weapon: Cluster Munition>],ALEPPO : Al-Jinah,CL_1094,Use of illegal weapons,,"قضى رجل وطفل وأصيب ستة مدنيين، صباح اليوم، جراء ثلاث غارات بالقنابل العنقودية نفذتها طائرات حربية روسية على قرية الجينة في ريف حلب الغربي، استهدفت أطراف القرية بحسب مراسل سمارت. وبدوره الدفاع المدني قام بالبحث في محيط الأراضي الزراعية المستهدفة عن قنابل عنقودية التي لم تنفجر. يقول أحد أهالي القرية"" أُصيب عدة أشخاص إثر القصف بعضهم بحالة حرجة، والدفاع المدني قام بجمع القنابل العنقودية التي لم تنفجر من الأراضي حفاظاً على سلامة المدنيين"".
"
pZeEXzgFRUs,Five casualties and seven injured as a result of the Russian airstrikes in Aleppo with cluster bombs,SMART News Agency - وكالة سمارت للأنباء,خمسة قتلى وسبعة جرحى إثر غارة للطائرات الروسية على حي الصالحين بحلب,2016-07-14 10:18:00+00:00,,,[<Weapon: Cluster Munition>],ALEPPO : Salaheen,CL_1096,Use of illegal weapons,,"قضى خمسة مدنيين وأصيب سبعة آخرين، صباح اليوم، إثر غارات بصواريخ فراغية وأخرى عنقودية نفذتها طائرات حربية روسية على حي الصالحين بحلب.يقول (أبو رائد) أحد أهالي المدينة"" سقط الصاروخ صباح اليوم في الحي وأدى لمقتل ثلاثة مدنيين في سيارتهم، كما استهدف أحد الأليات التابعة للمجلس المحلي ماأدى لمقتل عاملين نظافة ونجاة واحد، والنظام لم يكتفي بقصف طريق الكاستيلو ويأتي لقصف المدينة نفسها"".
"
u2NlnFr6_zQ,"Cluster bomb strikes in Binnish in Idlib suburbs 
",قناة الجسر الفضائية,"غارات بالقنابل العنقودية على مدينة بنش بريف إدلب
",2016-07-14 08:37:01+00:00,35.9581565,36.7118971,[<Weapon: Cluster Munition>],IDLIB : Binnish,CL_1002,Use of illegal weapons,,
